BLK 1
MOD 1000
PTH 36, 0.43  \\S301-169 to 170
PTH 37, 0.48  \\S301-171 to 172
PTH 38, 0.50  \\S301-173 to 174
PTH 39, 0.52  \\S301-175 to 176
PTH 40, 0.54  \\S301-177 to 178
PTH 41, 0.56  \\S301-179 to 180
PTH 42, 0.50  \\S301-181 to 182
PTH 43, 0.49  \\S301-183 to 184
PTH 44, 0.51  \\S301-185 to 186
PTH 45, 0.56  \\S301-187 to 188
PTH 46, 0.54  \\S301-189 to 190
PTH 47, 0.57  \\S301-191 to 192
MOD 2000
PTH 00, 0.56  \\S607-1 to 2
PTH 01, 0.55  \\S607-1 to 3
MOD 2100
PTH 00, 0.52  \\S608-1 to 2
PTH 01, 0.54  \\S608-1 to 3
MOD 2200
PTH 00, 0.53  \\S609-1 to 2
PTH 01, 0.55  \\S609-1 to 3
MOD 2300
PTH 00, 0.55  \\S610-1 to 2
PTH 01, 0.54  \\S610-1 to 3
MOD 2400
PTH 00, 0.55  \\S611-1 to 2
PTH 01, 0.59  \\S611-1 to 3
MOD 2500
PTH 00, 0.65  \\S612-1 to 2
PTH 01, 0.65  \\S612-1 to 3
MOD 3000
PTH 00, 0.52  \\S404-1 to 2
PTH 01, 0.54  \\S404-1 to 3
PTH 02, 0.55  \\S404-1 to 4
PTH 03, 0.51  \\S404-1 to 5
MOD 3100
PTH 00, 0.55  \\S405-1 to 2
PTH 01, 0.57  \\S405-1 to 3
PTH 02, 0.58  \\S405-1 to 4
PTH 03, 0.58  \\S405-1 to 5
MOD 3200
PTH 00, 0.59  \\S406-1 to 2
PTH 01, 0.62  \\S406-1 to 3
PTH 02, 0.62  \\S406-1 to 4
PTH 03, 0.60  \\S406-1 to 5
MOD 4000
PTH 00, 0.56  \\S506-1 to 3
PTH 01, 0.53  \\S506-1 to 4
PTH 02, 0.54  \\S506-1 to 5
PTH 03, 0.55  \\S506-1 to 6
PTH 04, 0.56  \\S506-1 to 7
PTH 05, 0.56  \\S506-1 to 8
PTH 06, 0.58  \\S506-1 to 9
PTH 07, 0.57  \\S506-1 to 10
PTH 10, 0.61  \\S506-2 to 3
PTH 11, 0.57  \\S506-2 to 4
PTH 12, 0.59  \\S506-2 to 5
PTH 13, 0.59  \\S506-2 to 6
PTH 14, 0.60  \\S506-2 to 7
PTH 15, 0.60  \\S506-2 to 8
PTH 16, 0.63  \\S506-2 to 9
PTH 17, 0.63  \\S506-2 to 10
MOD 4100
PTH 00, 0.59  \\S507-1 to 3
PTH 01, 0.56  \\S507-1 to 4
PTH 02, 0.55  \\S507-1 to 5
PTH 03, 0.58  \\S507-1 to 6
PTH 04, 0.59  \\S507-1 to 7
PTH 05, 0.58  \\S507-1 to 8
PTH 06, 0.62  \\S507-1 to 9
PTH 07, 0.61  \\S507-1 to 10
PTH 10, 0.65  \\S507-2 to 3
PTH 11, 0.61  \\S507-2 to 4
PTH 12, 0.59  \\S507-2 to 5
PTH 13, 0.63  \\S507-2 to 6
PTH 14, 0.62  \\S507-2 to 7
PTH 15, 0.63  \\S507-2 to 8
PTH 16, 0.65  \\S507-2 to 9
PTH 17, 0.66  \\S507-2 to 10
MOD 4200
PTH 00, 0.59  \\S508-1 to 3
PTH 01, 0.54  \\S508-1 to 4
PTH 02, 0.53  \\S508-1 to 5
PTH 03, 0.57  \\S508-1 to 6
PTH 04, 0.55  \\S508-1 to 7
PTH 05, 0.58  \\S508-1 to 8
PTH 06, 0.59  \\S508-1 to 9
PTH 07, 0.57  \\S508-1 to 10
PTH 10, 0.62  \\S508-2 to 3
PTH 11, 0.58  \\S508-2 to 4
PTH 12, 0.55  \\S508-2 to 5
PTH 13, 0.60  \\S508-2 to 6
PTH 14, 0.58  \\S508-2 to 7
PTH 15, 0.61  \\S508-2 to 8
PTH 16, 0.61  \\S508-2 to 9
PTH 17, 0.62  \\S508-2 to 10
MOD 4300
PTH 00, 0.58  \\S509-1 to 3
PTH 01, 0.55  \\S509-1 to 4
PTH 02, 0.58  \\S509-1 to 5
PTH 03, 0.58  \\S509-1 to 6
PTH 04, 0.56  \\S509-1 to 7
PTH 05, 0.59  \\S509-1 to 8
PTH 06, 0.61  \\S509-1 to 9
PTH 07, 0.59  \\S509-1 to 10
PTH 10, 0.64  \\S509-2 to 3
PTH 11, 0.62  \\S509-2 to 4
PTH 12, 0.64  \\S509-2 to 5
PTH 13, 0.64  \\S509-2 to 6
PTH 14, 0.63  \\S509-2 to 7
PTH 15, 0.64  \\S509-2 to 8
PTH 16, 0.66  \\S509-2 to 9
PTH 17, 0.65  \\S509-2 to 10
MOD 4400
PTH 00, 0.64  \\S510-1 to 3
PTH 01, 0.59  \\S510-1 to 4
PTH 02, 0.59  \\S510-1 to 5
PTH 03, 0.61  \\S510-1 to 6
PTH 04, 0.64  \\S510-1 to 7
PTH 05, 0.62  \\S510-1 to 8
PTH 06, 0.66  \\S510-1 to 9
PTH 07, 0.61  \\S510-1 to 10
PTH 10, 0.72  \\S510-2 to 3
PTH 11, 0.67  \\S510-2 to 4
PTH 12, 0.66  \\S510-2 to 5
PTH 13, 0.68  \\S510-2 to 6
PTH 14, 0.71  \\S510-2 to 7
PTH 15, 0.70  \\S510-2 to 8
PTH 16, 0.72  \\S510-2 to 9
PTH 17, 0.69  \\S510-2 to 10
BLK 3
MOD 0
PTH 00, 0.91  \\S751-1 to 3 and S751-2 to 4
PTH 01, 0.86  \\S751-1 to 5 and S751-2 to 6
PTH 02, 0.81  \\S751-1 to 7 and S751-2 to 8
PTH 03, 0.81  \\S751-1 to 9 and S751-2 to 10
PTH 04, 0.73  \\S751-1 to 11 and S751-2 to 12
PTH 05, 0.70  \\S751-1 to 13 and S751-2 to 14
PTH 06, 0.65  \\S751-1 to 15 and S751-2 to 16
PTH 07, 0.60  \\S751-1 to 17 and S751-2 to 18
MOD 1
PTH 00, 1.12  \\S701-1 to 3 and S701-2 to 4
PTH 01, 1.17  \\S701-1 to 5 and S701-2 to 6
PTH 02, 1.16  \\S701-1 to 7 and S701-2 to 8
PTH 03, 1.14  \\S701-1 to 9 and S701-2 to 10
PTH 04, 1.22  \\S701-1 to 11 and S701-2 to 12
PTH 05, 1.20  \\S701-1 to 13 and S701-2 to 14
PTH 06, 1.20  \\S701-1 to 15 and S701-2 to 16
PTH 07, 1.22  \\S701-1 to 17 and S701-2 to 18
MOD 2
PTH 00, 1.05  \\S701-1 to 19 and S701-2 to 20
PTH 01, 1.06  \\S701-1 to 21 and S701-2 to 22
PTH 02, 1.07  \\S701-1 to 23 and S701-2 to 24
PTH 03, 1.08  \\S701-1 to 25 and S701-2 to 26
PTH 04, 1.10  \\S701-1 to 27 and S701-2 to 28
PTH 05, 1.11  \\S701-1 to 29 and S701-2 to 30
PTH 06, 1.13  \\S701-1 to 31 and S701-2 to 32
PTH 07, 1.13  \\S701-1 to 33 and S701-2 to 34
MOD 3
PTH 00, 0.92  \\S701-1 to 35 and S701-2 to 36
PTH 01, 0.88  \\S701-1 to 37 and S701-2 to 38
PTH 02, 0.83  \\S701-1 to 39 and S701-2 to 40
PTH 03, 0.80  \\S701-1 to 41 and S701-2 to 42
PTH 04, 0.73  \\S701-1 to 43 and S701-2 to 44
PTH 05, 0.72  \\S701-1 to 45 and S701-2 to 46
PTH 06, 0.66  \\S701-1 to 47 and S701-2 to 48
PTH 07, 0.60  \\S701-1 to 49 and S701-2 to 50
MOD 4
PTH 00, 1.17  \\S201-1 to 5 and S201-2 to 6
PTH 01, 1.18  \\S201-1 to 7 and S201-2 to 8
PTH 02, 1.19  \\S201-1 to 9 and S201-2 to 10
PTH 03, 1.22  \\S201-1 to 11 and S201-2 to 12
PTH 04, 1.21  \\S201-1 to 13 and S201-2 to 14
PTH 05, 1.25  \\S201-1 to 15 and S201-2 to 16
PTH 06, 1.25  \\S201-1 to 17 and S201-2 to 18
PTH 07, 1.27  \\S201-1 to 19 and S201-2 to 20
MOD 5
PTH 00, 1.17  \\S201-3 to 5 and S201-4 to 6
PTH 01, 1.22  \\S201-3 to 7 and S201-4 to 8
PTH 02, 1.23  \\S201-3 to 9 and S201-4 to 10
PTH 03, 1.19  \\S201-3 to 11 and S201-4 to 12
PTH 04, 1.23  \\S201-3 to 13 and S201-4 to 14
PTH 05, 1.21  \\S201-3 to 15 and S201-4 to 16
PTH 06, 1.23  \\S201-3 to 17 and S201-4 to 18
PTH 07, 1.27  \\S201-3 to 19 and S201-4 to 20
MOD 6
PTH 00, 1.03  \\S201-1 to 21 and S201-2 to 22
PTH 01, 0.97  \\S201-1 to 23 and S201-2 to 24
PTH 02, 0.91  \\S201-1 to 25 and S201-2 to 26
PTH 03, 0.88  \\S201-1 to 27 and S201-2 to 28
PTH 04, 0.84  \\S201-1 to 29 and S201-2 to 30
PTH 05, 0.81  \\S201-1 to 31 and S201-2 to 32
PTH 06, 0.74  \\S201-1 to 33 and S201-2 to 34
PTH 07, 0.69  \\S201-1 to 35 and S201-2 to 36
MOD 7
PTH 00, 1.00  \\S201-3 to 21 and S201-4 to 22
PTH 01, 0.98  \\S201-3 to 23 and S201-4 to 24
PTH 02, 0.93  \\S201-3 to 25 and S201-4 to 26
PTH 03, 0.85  \\S201-3 to 27 and S201-4 to 28
PTH 04, 0.85  \\S201-3 to 29 and S201-4 to 30
PTH 05, 0.76  \\S201-3 to 31 and S201-4 to 32
PTH 06, 0.73  \\S201-3 to 33 and S201-4 to 34
PTH 07, 0.71  \\S201-3 to 35 and S201-4 to 36
MOD 8
PTH 00, 1.15  \\S201-1 to 37 and S201-2 to 38
PTH 01, 1.14  \\S201-1 to 39 and S201-2 to 40
PTH 02, 1.14  \\S201-1 to 41 and S201-2 to 42
PTH 03, 1.18  \\S201-1 to 43 and S201-2 to 44
PTH 04, 1.20  \\S201-1 to 45 and S201-2 to 46
PTH 05, 1.22  \\S201-1 to 47 and S201-2 to 48
PTH 06, 1.22  \\S201-1 to 49 and S201-2 to 50
PTH 07, 1.21  \\S201-1 to 51 and S201-2 to 52
MOD 9
PTH 00, 1.12  \\S201-3 to 37 and S201-4 to 38
PTH 01, 1.16  \\S201-3 to 39 and S201-4 to 40
PTH 02, 1.16  \\S201-3 to 41 and S201-4 to 42
PTH 03, 1.16  \\S201-3 to 43 and S201-4 to 44
PTH 04, 1.20  \\S201-3 to 45 and S201-4 to 46
PTH 05, 1.21  \\S201-3 to 47 and S201-4 to 48
PTH 06, 1.19  \\S201-3 to 49 and S201-4 to 50
PTH 07, 1.24  \\S201-3 to 51 and S201-4 to 52
MOD 10
PTH 00, 1.16  \\S202-1 to 5 and S202-2 to 6
PTH 01, 1.13  \\S202-1 to 7 and S202-2 to 8
PTH 02, 1.14  \\S202-1 to 9 and S202-2 to 10
PTH 03, 1.17  \\S202-1 to 11 and S202-2 to 12
PTH 04, 1.16  \\S202-1 to 13 and S202-2 to 14
PTH 05, 1.20  \\S202-1 to 15 and S202-2 to 16
PTH 06, 1.22  \\S202-1 to 17 and S202-2 to 18
PTH 07, 1.21  \\S202-1 to 19 and S202-2 to 20
MOD 11
PTH 00, 1.13  \\S202-3 to 5 and S202-4 to 6
PTH 01, 1.16  \\S202-3 to 7 and S202-4 to 8
PTH 02, 1.16  \\S202-3 to 9 and S202-4 to 10
PTH 03, 1.16  \\S202-3 to 11 and S202-4 to 12
PTH 04, 1.20  \\S202-3 to 13 and S202-4 to 14
PTH 05, 1.21  \\S202-3 to 15 and S202-4 to 16
PTH 06, 1.20  \\S202-3 to 17 and S202-4 to 18
PTH 07, 1.24  \\S202-3 to 19 and S202-4 to 20
MOD 12
PTH 00, 0.99  \\S202-1 to 21 and S202-2 to 22
PTH 01, 0.92  \\S202-1 to 23 and S202-2 to 24
PTH 02, 0.87  \\S202-1 to 25 and S202-2 to 26
PTH 03, 0.84  \\S202-1 to 27 and S202-2 to 28
PTH 04, 0.78  \\S202-1 to 29 and S202-2 to 30
PTH 05, 0.77  \\S202-1 to 31 and S202-2 to 32
PTH 06, 0.72  \\S202-1 to 33 and S202-2 to 34
PTH 07, 0.63  \\S202-1 to 35 and S202-2 to 36
MOD 13
PTH 00, 0.98  \\S202-3 to 21 and S202-4 to 22
PTH 01, 0.96  \\S202-3 to 23 and S202-4 to 24
PTH 02, 0.90  \\S202-3 to 25 and S202-4 to 26
PTH 03, 0.82  \\S202-3 to 27 and S202-4 to 28
PTH 04, 0.84  \\S202-3 to 29 and S202-4 to 30
PTH 05, 0.75  \\S202-3 to 31 and S202-4 to 32
PTH 06, 0.71  \\S202-3 to 33 and S202-4 to 34
PTH 07, 0.67  \\S202-3 to 35 and S202-4 to 36
MOD 14
PTH 00, 1.15  \\S202-1 to 37 and S202-2 to 38
PTH 01, 1.15  \\S202-1 to 39 and S202-2 to 40
PTH 02, 1.14  \\S202-1 to 41 and S202-2 to 42
PTH 03, 1.18  \\S202-1 to 43 and S202-2 to 44
PTH 04, 1.19  \\S202-1 to 45 and S202-2 to 46
PTH 05, 1.22  \\S202-1 to 47 and S202-2 to 48
PTH 06, 1.22  \\S202-1 to 49 and S202-2 to 50
PTH 07, 1.22  \\S202-1 to 51 and S202-2 to 52
MOD 15
PTH 00, 1.09  \\S202-3 to 37 and S202-4 to 38
PTH 01, 1.13  \\S202-3 to 39 and S202-4 to 40
PTH 02, 1.15  \\S202-3 to 41 and S202-4 to 42
PTH 03, 1.13  \\S202-3 to 43 and S202-4 to 44
PTH 04, 1.18  \\S202-3 to 45 and S202-4 to 46
PTH 05, 1.17  \\S202-3 to 47 and S202-4 to 48
PTH 06, 1.17  \\S202-3 to 49 and S202-4 to 50
PTH 07, 1.20  \\S202-3 to 51 and S202-4 to 52
